,<built-in function id>,average,avg_diff,dist_min_max,id,length,max,mean,min,q1,q2,q3,sorted_percentage,std_deviation,target,variance
107,7,-628076776.5,-56873276.11,4012100189,145,10,2134037766,-628076776.5,-1878062423,-1535343745,-1190090626,-330213810.8,40,1250330535,2,1.56E+18
108,8,-334658224.8,-270559355,3176268356,146,10,1511303388,-334658224.8,-1664964968,-1033707159,-655844744.5,615899583.3,40,1047095580,2,1.10E+18
109,9,491353114.5,-247410757.2,4122078965,148,10,2117745465,491353114.5,-2004333500,88732686.5,801236187.5,1421989281,50,1395253355,2,1.95E+18
110,0,72825885.6,325598105.9,4091667997,149,10,1979019814,72825885.6,-2112648183,-1531601476,415529851.5,1620390175,50,1581769887,2,2.50E+18
111,1,-55574439.9,-218989834.7,3348467947,150,10,1609328849,-55574439.9,-1739139098,-910803544,4740010.5,955327191,40,1144254595,2,1.31E+18
112,2,340282869.9,19971156.67,3963023794,152,10,1925223758,340282869.9,-2037800036,-481163691.3,-53224011,1678408806,50,1287440656,2,1.66E+18
113,3,-332616196.9,-23938540,3786402987,153,10,1790405211,-332616196.9,-1995997776,-1596086548,-413561696.5,622156491.3,50,1325198220,2,1.76E+18
114,4,838628427.1,76637587.89,2897190538,155,10,1700936710,838628427.1,-1196253828,836335511.5,960479302,1256824512,50,786945912.8,2,6.19E+17
115,5,-292854506.8,179986219.1,3619865505,156,10,2061371290,-292854506.8,-1558494215,-1108840468,-511610778,324848476.8,60,1036826631,2,1.08E+18
116,6,-199238736.8,258281204.4,3702742198,157,10,1941372783,-199238736.8,-1761369415,-1308568744,-808259779,964887046.5,70,1331335998,2,1.77E+18
117,7,-309507749.4,18864049.11,3637514913,158,10,1874274997,-309507749.4,-1763239916,-1453054994,-657078074.5,846087883.5,40,1281776951,2,1.64E+18
118,8,149637324.7,-63381895.22,3271527141,159,10,1904411191,149637324.7,-1367115950,-835360658,112846914.5,1157785292,40,1112014061,2,1.24E+18
119,9,-156022529.1,432156673.8,3889410064,160,10,1800726368,-156022529.1,-2088683696,-950009442.8,-360969792.5,972564487.8,70,1312856795,2,1.72E+18
120,0,-416870947.3,192420012.8,3828860352,161,10,1805731537,-416870947.3,-2023128815,-1365888747,-427867170.5,165733412.3,50,1093594037,2,1.20E+18
121,1,-131830933.2,20191178.67,3439446905,164,10,1891981411,-131830933.2,-1547465494,-1162635137,-441607276.5,714006972.8,50,1140815139,2,1.30E+18
122,2,194896032.6,-86508903.33,3295038901,167,10,2040360103,194896032.6,-1254678798,-937414891.8,36059614,1344618815,50,1202806569,2,1.45E+18
123,3,-217185554.3,-188373533.2,3691497131,168,10,2064526280,-217185554.3,-1626970851,-973577084.5,-376363303.5,387199584,40,1024744628,2,1.05E+18
124,4,-101014554.8,-435896745.7,4174584328,169,10,2063768759,-101014554.8,-2110815569,-747510327,-441149983,1115458019,30,1385196855,2,1.92E+18
125,5,-123926.8,-223219556.3,4070671772,170,10,2146269815,-123926.8,-1924401957,-984802491.8,139259565.5,724675785.8,40,1248445892,2,1.56E+18
126,6,294128210.2,-9934791.556,3761572316,172,10,1929871886,294128210.2,-1831700430,-722753102.5,583048843.5,1137883636,40,1166099778,2,1.36E+18
127,7,41559153.5,-182616076.6,3304798913,173,10,1555317005,41559153.5,-1749481908,-353246841,-3683108,635588964.8,50,986775439.8,2,9.74E+17
128,8,648005277.3,-106943876.3,2723055691,174,10,1750428647,648005277.3,-972627044,169928561,644024678,1366787306,60,804531360.8,2,6.47E+17
129,9,-132115109.1,366682816.1,3300145345,175,10,1415858360,-132115109.1,-1884286985,-1317599274,161835826,764688093.8,40,1187686314,2,1.41E+18
130,0,-67309659.1,-176825180.1,3637302172,177,10,1543042411,-67309659.1,-2094259761,-926942028.5,-508754530,1285836518,50,1247678539,2,1.56E+18
131,1,-673441403.2,-218580637.2,3292058473,178,10,1336178668,-673441403.2,-1955879805,-1481263209,-911500352,118658909.3,20,1013826430,2,1.03E+18
132,2,6594775.4,209869699.7,3656042224,179,10,1947661213,6594775.4,-1708381011,-792142755,-324185864.5,1146002695,50,1191303098,2,1.42E+18
133,3,193175085,43941074.89,2990555244,181,10,2101529915,193175085,-889025329,-418128888,-118721963,663071657.8,50,941303602.8,2,8.86E+17
134,4,376638910.5,33654086.11,3929954442,182,10,1798616689,376638910.5,-2131337753,-468808572,598043185.5,1515633265,50,1243247539,2,1.55E+18
135,5,-303094611.8,94620335.56,3856189192,183,10,1760500887,-303094611.8,-2095688305,-1448367833,-516992417,784339758,60,1334463875,2,1.78E+18
136,6,-764811968.7,151167229.8,3255843737,186,10,1149310489,-764811968.7,-2106533248,-1925970171,-837459712.5,-140615931.5,50,1174952639,2,1.38E+18
137,7,212225647.4,-10762537.78,3607888577,187,10,1671054669,212225647.4,-1936833908,-488958783.8,402959580,1098788484,60,1081569891,2,1.17E+18
138,8,-262848452.8,183612437.3,3869275396,188,10,1912996527,-262848452.8,-1956278869,-1485089440,-121372599,794519198,40,1277256723,2,1.63E+18
139,9,-19144259.7,4655542.778,3489094142,192,10,2038296654,-19144259.7,-1450797488,-1116563247,-707875047,1367214082,50,1331325283,2,1.77E+18
140,0,-874163927.9,-273573335.2,3675085237,194,10,1535849395,-874163927.9,-2139235842,-1891688506,-1592300349,130962017,40,1346224972,2,1.81E+18
141,1,-113513686.2,-157067280.9,3539407481,196,10,1427128066,-113513686.2,-2112279415,-782854855.8,-246782814,847737494.8,60,1089317404,2,1.19E+18
142,2,-378198915.1,103059490.6,3875900274,197,10,1993098886,-378198915.1,-1882801388,-1142632462,-648878263.5,-284439283.8,40,1261749975,2,1.59E+18
143,3,765954198.4,-131158155.3,3193190382,198,10,1914972646,765954198.4,-1278217736,-54533635.25,1147278616,1642275764,50,1076930307,2,1.16E+18
144,4,-248455506.9,292847978.8,4091908499,199,10,2070981717,-248455506.9,-2020926782,-1589843151,-615002831,999990496.5,40,1538744529,2,2.37E+18
145,5,-12710416.2,-27137208.11,3718196211,200,10,2043301039,-12710416.2,-1674895172,-1327543761,75331036.5,1001772939,40,1274110080,2,1.62E+18
146,6,-282201179.3,-46888281.22,3782118944,201,10,1981213272,-282201179.3,-1800905672,-1304648243,-667852994.5,717930324.3,30,1236386846,2,1.53E+18
147,7,501795504,-130099860,3490880753,203,10,2100863561,501795504,-1390017192,-136350973,454226250,1195508119,50,985019366.5,2,9.70E+17
148,8,365965382.5,158608861,3448411487,204,10,2081294534,365965382.5,-1367116953,-701726621.5,445529383.5,1250288229,30,1260045722,2,1.59E+18
149,9,79641506.7,279774056.3,2550778398,205,10,1029897364,79641506.7,-1520881034,-222573673.3,133374129,795090088.8,60,809069561.8,2,6.55E+17
150,0,-253926441.5,-178322405.4,3069617436,207,10,1566025658,-253926441.5,-1503591778,-1209605962,-596997925,490899426.8,40,1095023380,2,1.20E+18
151,1,249106129.8,227583332.4,2883960117,208,10,1952308957,249106129.8,-931651160,-624040504.3,-399026284,1397771641,70,1095383588,2,1.20E+18
152,2,-35920499,-40374990.11,3486067544,209,10,1389349316,-35920499,-2096718228,-991911314.3,249009436,1037047205,50,1210132896,2,1.46E+18
153,3,-70427153.9,-212414325,4062608722,211,10,1983559014,-70427153.9,-2079049708,-1319748298,-292670927.5,1487728447,50,1492913373,2,2.23E+18
154,4,474092345.5,16048658,3241847442,212,10,2125575716,474092345.5,-1116271726,-192326866.8,580559982.5,1171176170,30,952051220.5,2,9.06E+17
155,5,432281655.4,-20847058.22,2610887068,214,10,2072849457,432281655.4,-538037611,-436829543,374285099.5,990025329.5,50,886658238.2,2,7.86E+17
156,6,-271942360.3,35396192.89,3967309587,218,10,2105290104,-271942360.3,-1862019483,-1482143959,-554572757.5,271654547.5,30,1374933146,2,1.89E+18
157,7,1202664603,-31708638.11,2358734165,219,10,2004751519,1202664603,-353982646,729314241.8,1589928162,1920186089,50,825696694.6,2,6.82E+17
158,8,-490071305.5,-168833990.1,1883605687,220,10,485434836,-490071305.5,-1398170851,-1106243228,-640491187.5,125666452.3,20,695856747.6,2,4.84E+17
159,9,-568391687,68465329.44,3787361161,222,10,1762184339,-568391687,-2025176822,-1860613387,-1178197701,891539094.3,50,1442210751,2,2.08E+18
160,0,-159204172,-133317124.9,3502150052,224,10,1916131925,-159204172,-1586018127,-1278446249,-337297476,839637097.5,40,1184466587,2,1.40E+18
161,1,-608349592.7,5176381.222,4105214460,229,10,2094995019,-608349592.7,-2010219441,-1629520062,-989151838,92704151.25,30,1231258349,2,1.52E+18
162,2,348424855.6,-370318939.6,3332870456,230,10,1548125391,348424855.6,-1784745065,-373823713.3,692938340,1225473864,40,1112907742,2,1.24E+18
163,3,-47441593.8,-104459685.9,4095777191,231,10,2068326669,-47441593.8,-2027450522,-1122421887,-323624121.5,1121086653,50,1420683456,2,2.02E+18
164,4,274772406.6,106212129.9,3793417425,234,10,2035678524,274772406.6,-1757738901,-1008007096,767954849.5,1408511756,40,1353369444,2,1.83E+18
165,5,19951098.7,-109295793.4,3691639910,235,10,1643458931,19951098.7,-2048180979,-194447514.8,-20628720,593149641.5,40,1005328419,2,1.01E+18
166,6,-209705769.9,224726599.4,3956741141,236,10,1934288065,-209705769.9,-2022453076,-1195363199,-364119155.5,840049291.5,60,1326102872,2,1.76E+18
167,7,624572639.6,-105429429.8,3099496462,238,10,2015553317,624572639.6,-1083943145,-268628095.8,510544022.5,1743629415,40,1085856501,2,1.18E+18
168,8,-237400104.9,-437896189.3,3941065704,239,10,1871481850,-237400104.9,-2069583854,-1002278104,-381376645.5,594615685.3,30,1115972054,2,1.25E+18
169,9,-428766014.6,-259244344.1,3539132482,240,10,1411912796,-428766014.6,-2127219686,-1911346107,91747242.5,601243771.3,40,1326393092,2,1.76E+18
170,0,180897385,-46915847.33,3034986309,241,10,1711962414,180897385,-1323023895,-705519585,395282063.5,709843357.8,40,947730688.4,2,8.98E+17
171,1,647417983,-147861824.1,3898845693,242,10,2029711538,647417983,-1869134155,-245550030,1150898718,1803790082,50,1376796650,2,1.90E+18
172,2,614203840.9,-341420987.4,3746323566,243,10,1883788999,614203840.9,-1862534567,252129153,682516395,1465085561,30,1085427546,2,1.18E+18
173,3,-116837255,220243200.4,4197906482,244,10,2137061172,-116837255,-2060845310,-1473596967,377080357,824446301.3,50,1438767159,2,2.07E+18
174,4,-450391667.3,-8040715.889,3626735524,246,10,1509968438,-450391667.3,-2116767086,-1649069963,-490725438,627676556.3,30,1217560701,2,1.48E+18
175,5,49150039.2,369283239.3,4052646051,247,10,2133040615,49150039.2,-1919605436,-1296243869,-319594400.5,1443289577,60,1443756633,2,2.08E+18
176,6,332347663.5,75687337,2625031800,248,10,1580078421,332347663.5,-1044953379,-118276115.5,187681383.5,1059559530,40,806107412.8,2,6.50E+17
177,7,-800493873.8,-37037235.89,3275666814,249,10,1320667504,-800493873.8,-1954999310,-1286174320,-1083247276,-438578551,50,877112385.2,2,7.69E+17
178,8,257118765.9,301230977.9,3929832156,250,10,1998777084,257118765.9,-1931055072,-773654915.3,535312881,1335443164,50,1276523070,2,1.63E+18
179,9,436279055.2,-60111230.11,2435811998,251,10,1643190420,436279055.2,-792621578,-23859606,468638469,921656630.5,40,719593815.5,2,5.18E+17
180,0,-109940972.7,384441911.3,3899407145,252,10,1769090526,-109940972.7,-2130316619,-1471333474,-139295908,1323027750,50,1442395175,2,2.08E+18
181,1,-206476107.9,51624963.22,4117276636,254,10,2093544623,-206476107.9,-2023732013,-1318496542,-943599957.5,1325876916,40,1491417514,2,2.22E+18
